Date,P,Type,PlantID,LeafID,LeafLength_cm,LeafWidth_cm,LLbyLW_cm2,LeafArea_cm2,LeafArea_m2,All_pixels,Tape_pixels,Leaf_pixels,Leaf_pixels_million,originalDate,FruitNumOnPlant,FruitNumDetected,FNp-FNd,FruitOccludedRatio
2022-12-28,1,Attached,72.0,164.0,1089.0,774.0,31693.0,7405.985059635568,0.7405985059635568,4396458,32404,4364054,4.364054,2022-12-29,145,96,49,0.33793103448275863
2022-12-28,2,Attached,100.0,162.0,1137.0,924.0,33491.0,7891.4769472398675,0.7891476947239868,4402106,690,4401416,4.401416,2022-12-29,123,37,86,0.6991869918699187
2022-12-28,4,Attached,136.0,272.0,1520.0,1156.0,45208.0,10567.301295321917,1.0567301295321916,5092189,5846,5086343,5.086343,2022-12-29,114,70,44,0.38596491228070173
2022-12-28,3,Attached,144.0,204.0,1564.0,1229.0,49197.0,11442.046426124829,1.144204642612483,5295545,15037,5280508,5.280508,2022-12-29,144,67,77,0.5347222222222222
2022-12-28,8,Attached,76.0,139.0,1207.0,960.0,40210.0,9288.873881761428,0.9288873881761429,5323699,136,5323563,5.323563,2022-12-29,217,70,147,0.6774193548387096
2022-12-28,6,Attached,151.0,259.0,1667.0,1313.0,49519.0,11603.867265079067,1.1603867265079066,5472909,13272,5459637,5.459637,2022-12-29,139,59,80,0.5755395683453237
2022-12-28,7,Attached,114.0,191.0,1417.0,1217.0,46065.0,10709.627412108866,1.0709627412108866,5464448,2340,5462108,5.462108,2022-12-29,140,80,60,0.42857142857142855
2022-12-28,5,Attached,98.0,159.0,1257.0,994.0,38958.0,9090.33170534955,0.909033170534955,5933309,1076,5932233,5.932233,2022-12-29,173,47,126,0.7283236994219653
2023-01-30,2,Attached,73.0,130.0,890.0,734.0,23836.0,6268.968062820125,0.6268968062820125,2752708,108907,2643801,2.643801,2023-01-30,79,63,16,0.20253164556962025
2023-01-30,6,Attached,104.0,254.0,1251.0,1023.0,35531.0,9254.481377643186,0.9254481377643186,4347422,814691,3532731,3.532731,2023-01-30,105,75,30,0.2857142857142857
2023-01-30,8,Attached,78.0,244.0,1027.0,896.0,30709.0,7915.097624657095,0.7915097624657095,4289901,675592,3614309,3.614309,2023-01-30,75,50,25,0.3333333333333333
2023-01-30,1,Attached,69.0,180.0,1169.0,927.0,36170.0,9208.737527970574,0.9208737527970574,4736143,959984,3776159,3.776159,2023-01-30,118,67,51,0.4322033898305085
2023-01-30,4,Attached,88.0,202.0,1265.0,968.0,34665.0,8980.335772026347,0.8980335772026345,4563745,780653,3783092,3.783092,2023-01-30,127,38,89,0.7007874015748031
2023-01-30,7,Attached,146.0,229.0,1171.0,975.0,31531.0,8373.28898057634,0.837328898057634,4453245,511307,3941938,3.941938,2023-01-30,114,75,39,0.34210526315789475
2023-01-30,3,Attached,129.0,267.0,1619.0,1305.0,49581.0,12641.686452449334,1.2641686452449332,4734170,488395,4245775,4.245775,2023-01-30,120,48,72,0.6
2023-01-30,5,Attached,133.0,277.0,1421.0,1138.0,38440.0,10076.354667937821,1.0076354667937821,5157909,759853,4398056,4.398056,2023-01-30,119,73,46,0.3865546218487395
2023-01-31,2,Attached,,,,,,,0.5169096330251144,2716912,63172,2653740,2.65374,2023-02-01,74,63,11,0.14864864864864866
2023-01-31,7,Attached,,,,,,,0.6464415097320979,3794474,849175,2945299,2.945299,2023-02-01,107,56,51,0.4766355140186916
2023-01-31,8,Attached,,,,,,,0.5895460142857689,3649702,349749,3299953,3.299953,2023-02-01,70,62,8,0.11428571428571428
2023-01-31,3,Attached,,,,,,,0.7464774086754257,3924522,446432,3478090,3.47809,2023-02-01,98,40,58,0.5918367346938775
2023-01-31,1,Attached,,,,,,,0.5830987285703526,4539613,1048024,3491589,3.491589,2023-02-01,93,85,8,0.08602150537634409
2023-01-31,6,Attached,,,,,,,0.5926816133867083,4203759,674356,3529403,3.529403,2023-02-01,93,84,9,0.0967741935483871
2023-01-31,4,Attached,,,,,,,0.6750008850781419,4367673,806478,3561195,3.561195,2023-02-01,112,43,69,0.6160714285714286
2023-01-31,5,Attached,,,,,,,0.8188987358282231,4620761,315818,4304943,4.304943,2023-02-01,96,74,22,0.22916666666666666
